date,home_away,opponent,adelphi_score,opponent_score,result,attendance,team,year,game_of_the_season
11/25/2018,away,Caldwell,64,57,W,,womens basketball,2018,6
11/28/2018,home,Dominican (NY),90,75,W,,womens basketball,2018,7
12/1/2018,away,Southern Connecticut State,63,47,W,,womens basketball,2018,8
12/5/2018,home,Saint Rose,60,49,W,,womens basketball,2018,9
12/8/2018,home,American Int'l,73,81,L,,womens basketball,2018,10
12/15/2018,home,East Stroudsburg,74,81,L,,womens basketball,2018,11
1/2/2019,home,Brown,62,75,L,,womens basketball,2018,12
1/5/2019,away,Dist. of Columbia,74,68,W,,womens basketball,2018,13
1/9/2019,away,Assumption,61,56,W,,womens basketball,2018,14
1/12/2019,home,Saint Anselm,72,75,L,,womens basketball,2018,15
1/15/2019,home,Merrimack,71,84,L,,womens basketball,2018,16
1/19/2019,away,Saint Michael's College,81,83,L,,womens basketball,2018,17
1/23/2019,home,Bentley,53,67,L,,womens basketball,2018,18
1/26/2019,home,Franklin Pierce,79,53,W,,womens basketball,2018,19
1/29/2019,away,Southern N.H.,71,87,L,,womens basketball,2018,20
2/2/2019,away,Stonehill,58,76,L,,womens basketball,2018,21
2/6/2019,home,Le Moyne,72,60,W,,womens basketball,2018,22
2/9/2019,home,New Haven,62,53,W,,womens basketball,2018,23
2/13/2019,away,Saint Rose,71,66,W,,womens basketball,2018,24
2/16/2019,away,PACE,78,72,W,,womens basketball,2018,25
2/20/2019,away,Southern Connecticut State,71,63,W,,womens basketball,2018,26
2/26/2019,away,American International,59,56,W,,womens basketball,2018,27
3/3/2019,home,Saint Anselm,81,85,L,,womens basketball,2018,28
11/9/2019,home,NYIT,78,62,W,225,womens basketball,2019,1
11/10/2019,home,Mercy,120,57,W,191,womens basketball,2019,2
11/13/2019,away,Dominican (N.Y.),70,62,W,168,womens basketball,2019,3
11/16/2019,home,CALDWELL,98,59,W,180,womens basketball,2019,4
11/23/2019,away,Saint Rose,77,46,W,150,womens basketball,2019,5
11/26/2019,home,GEORGIAN COURT,93,56,W,137,womens basketball,2019,6
12/1/2019,away,USciences,60,52,W,60,womens basketball,2019,7
12/4/2019,home,LE MOYNE,77,63,W,142,womens basketball,2019,8
12/7/2019,home,AMERICAN INT'L,75,51,W,132,womens basketball,2019,9
12/10/2019,away,Pace,74,68,W,263,womens basketball,2019,10
12/15/2019,away,East Stroudsburg,82,77,W,100,womens basketball,2019,11
12/18/2019,home,MOLLOY,77,60,W,137,womens basketball,2019,12
1/1/2020,home,CHESTNUT HILL,71,36,W,173,womens basketball,2019,13
1/4/2020,home,NEW HAVEN,70,66,W,173,womens basketball,2019,14
1/8/2020,away,Southern Conn. St.,77,54,W,102,womens basketball,2019,15
1/11/2020,home,SOUTHERN N.H.,92,90,W,115,womens basketball,2019,16
1/14/2020,home,STONEHILL,60,68,L,237,womens basketball,2019,17
1/18/2020,away,St. Anselm,61,72,L,215,womens basketball,2019,18
1/22/2020,home,ASSUMPTION,80,57,W,293,womens basketball,2019,19
1/25/2020,away,Franklin Pierce,70,47,W,97,womens basketball,2019,20
1/29/2020,home,SAINT MICHAEL'S,83,64,W,257,womens basketball,2019,21
2/1/2020,away,Bentley,85,70,W,469,womens basketball,2019,22
2/5/2020,away,American Int'l,70,58,W,144,womens basketball,2019,23
2/11/2020,away,Le Moyne,67,62,W,262,womens basketball,2019,24
2/15/2020,home,SAINT ROSE,115,59,W,315,womens basketball,2019,25
2/19/2020,home,PACE,63,59,W,214,womens basketball,2019,26
2/22/2020,away,New Haven,66,52,W,376,womens basketball,2019,27
2/25/2020,home,SOUTHERN CONN. ST.,88,64,W,237,womens basketball,2019,28
3/1/2020,home,SOUTHERN N.H.,81,55,W,322,womens basketball,2019,29
3/5/2020,home,ST. ANSELM,59,70,L,473,womens basketball,2019,30
11/13/2021,away,Post,46,57,L,0,womens basketball,2021,1
11/17/2021,away,Kutztown,49,60,L,206,womens basketball,2021,2
11/20/2021,home,SAINT ROSE,66,53,W,157,womens basketball,2021,3
11/23/2021,away,Molloy,63,71,L,115,womens basketball,2021,4
11/28/2021,away,Georgian Court,58,55,W,91,womens basketball,2021,5
12/1/2021,away,Le Moyne,65,69,L,169,womens basketball,2021,6
12/4/2021,home,AMERICAN INT'L,66,68,L,93,womens basketball,2021,7
12/7/2021,home,PACE,61,70,L,126,womens basketball,2021,8
12/12/2021,home,STONEHILL,82,75,W,102,womens basketball,2021,9
1/5/2022,home,SOUTHERN CONN. ST.,75,70,W,57,womens basketball,2021,10
1/8/2022,away,Pace,53,68,L,0,womens basketball,2021,11
1/11/2022,away,Stonehill,51,62,L,137,womens basketball,2021,12
1/15/2022,home,SAINT ANSELM,63,60,W,78,womens basketball,2021,13
1/17/2022,away,New Haven,59,58,W,0,womens basketball,2021,14
1/19/2022,away,Assumption,55,45,W,100,womens basketball,2021,15
1/22/2022,home,FRANKLIN PIERCE,68,67,W,75,womens basketball,2021,16
1/25/2022,away,Saint Michael's,76,62,W,223,womens basketball,2021,17
1/27/2022,away,Southern N.H.,56,54,W,78,womens basketball,2021,18
2/1/2022,home,BENTLEY,47,58,L,75,womens basketball,2021,19
2/3/2022,away,American Int'l,56,71,L,120,womens basketball,2021,20
